职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
python全栈开发工程师,大专,3-5年,"['团队管理经验', 'Django', 'MySQL', '运维开发经验', 'Redis', 'Tornado', '架构设计经验', 'Linux开发/部署经验', 'Numpy', 'Python', 'Flask']",6-10K·13薪,江苏宁源智能科技,0-20人,南京,雨花台区
Python,硕士,经验不限,"['Python', 'Django', 'Flask', 'MySQL', 'Oracle', '团队管理经验']",8-11K·13薪,南京骁宸能源科技,0-20人,南京,江宁区
Python开发-AI,本科,5-10年,"['Python', 'Java', 'Django', 'Flask', 'MySQL']",15-22K,紫藤优格,20-99人,南京,江宁区
Python开发工程师,本科,3-5年,"['Python工程师', '分布式技术', '多线程', '多进程', '大数据', '后端开发', '容器技术']",13-16K,华泰证券,10000人以上,南京,雨花台区
高级python开发工程师,本科,3-5年,"['Python', 'Oracle']",16-30K,溪水网络科技有限公司,20-99人,南京,建邺区
python开发工程师,本科,1-3年,"['Python', 'PyTorch', 'MySQL', 'Spark', '团队管理经验', '爬虫经验']",6-9K,方寸图,20-99人,南京,建邺区
Python,本科,,"['Java', 'C++', '接受实习/在校生投递', 'C', 'PyTorch', 'MySQL', '机器学习经验', '接受无前端经验/技能', 'Spark', 'Linux开发/部署经验', 'Python', 'TensorFlow']",80-120元/天,宝一通,20-99人,南京,鼓楼区
python工程师,本科,1-3年,"['Python', 'Django', 'Flask', 'Tornado', 'MySQL', 'Redis', 'MongoDB', '爬虫经验', '运维开发经验', '机器学习经验']",10-11K,扬州鑫利华网带厂,0-20人,南京,江宁区
python开发工程师,本科,1-3年,"['Django', 'MySQL', '运维开发经验', 'Tornado', '架构设计经验', 'Python']",6-11K,南自三厂,100-499人,南京,浦口区
Python,本科,5-10年,"['Java', '爬虫经验', '服务端开发经验', '全栈开发经验', '高级软件工程师', 'Python']",8-13K,保途顺,0-20人,南京,栖霞区
Python 后端(AI方向）,本科,3-5年,"['搜索算法', '大模型算法', '自然语言处理算法', '算法工程化经验', '数据挖掘', 'Python']",11-20K,莲偶科技,20-99人,南京,雨花台区
python开发工程师,大专,3-5年,"['Pandas', 'MySQL', 'Python']",12-15K,奇冠药店,500-999人,南京,江宁区
Python,本科,1-3年,"['Golang', 'Java', 'Nginx', 'MySQL', 'Redis', 'Selenium', 'Python']",15-16K,南京丰禾,20-99人,南京,江宁区
Python优化算法工程师,本科,,"['C', 'PyTorch', 'MySQL', '云计算经验', 'Python']",140-280元/天,星火,20-99人,南京,浦口区
Python实习生,学历不限,,"['Python', 'Docker', 'Selenium', 'Nginx', 'MySQL', 'Redis', 'MongoDB', '接受实习/在校生投递']",100-150元/天,贝优科技,20-99人,南京,鼓楼区
Python研发工程师,大专,1-3年,"['Java', 'C++', 'C', 'Django', 'PostgreSQL', 'MySQL', 'Python']",7-12K,南京任轩,0-20人,南京,雨花台区
python高级开发工程师,本科,3-5年,"['Java', 'Scrapy', '爬虫经验', 'Elasticsearch', 'Django', 'MySQL', '机器学习经验', 'Redis', 'MongoDB', 'Python']",13-16K,深圳自来,0-20人,南京,建邺区
python高级开发工程师,本科,1-3年,"['爬虫经验', 'PyTorch', 'MySQL', '架构设计经验', 'Linux开发/部署经验', 'Python']",6-11K,绿思科技,20-99人,南京,秦淮区
高级python开发工程师,本科,5-10年,"['Python', 'Flask', 'Django', 'Docker', 'PyTorch', 'TensorFlow', 'MySQL', 'Redis', 'Linux开发/部署经验', 'AI', '大模型']",15-25K·15薪,奇瑞信息公司,10000人以上,南京,栖霞区
Ai应用赋能开发工程师python方向,本科,5-10年,"['其他', 'Python', 'Flask']",10-15K,南京迅彩信息科技,0-20人,南京,栖霞区
Python开发工程师,本科,1年以内,"['消息队列', '多进程', 'Linux', 'Windows', '分布式技术', 'Redis', 'MongoDB', 'Scrapy']",5-10K,同袍信息科技,20-99人,南京,雨花台区
Python开发工程师,本科,3-5年,"['Python', 'Tornado', 'Django', 'Kafka', 'MySQL', 'PostgreSQL', 'MongoDB', 'Redis', 'Linux开发/部署经验', '爬虫经验']",12-15K·13薪,锦云智开,20-99人,南京,雨花台区
中高级python开发工程师,本科,3-5年,"['Python', 'Docker', 'PyTorch', 'TensorFlow', 'MySQL', 'Oracle', '微服务经验', '云计算经验']",15-20K,数字看点,100-499人,南京,
python开发,本科,3-5年,"['Python', '运营商']",20-25K,某大型计算机软件公司,1000-9999人,南京,
python数据开发工程师,硕士,1-3年,"['Python', 'Django', 'Flask', 'Numpy', 'Pandas', 'MySQL', 'Redis', 'MongoDB', 'Hadoop', 'Linux开发/部署经验', '云计算经验', 'MySQL', 'MongoDB', 'Python', '数据分析', '数据挖掘']",11-22K,江苏蕴蓝,20-99人,南京,江宁区
python中级工程师,本科,3-5年,"['爬虫经验', 'fastapi', 'Python']",15-20K,宇盾信息,20-99人,南京,浦口区
高级python开发工程师,硕士,5-10年,"['PyTorch', 'Docker', 'MySQL', 'Redis', '大模型', '架构设计经验', '数字人', 'Linux开发/部署经验', 'Python', 'Flask']",18-35K·13薪,microvideo,100-499人,南京,栖霞区
python开发工程师,本科,3-5年,"['Scrapy', '爬虫经验', 'Pandas', 'MySQL', 'Spark', 'Linux开发/部署经验', 'Python']",15-18K,北京八友科技,20-99人,南京,
Python工程师,本科,1-3年,"['数据开发', '爬虫', 'Python']",7-9K·13薪,帝岩,20-99人,南京,建邺区
python开发工程师,本科,经验不限,"['Golang', 'MySQL', '机器学习经验', 'AI', '人工智能', '云计算经验', 'AIGC', 'Python', 'Kubernetes']",12-19K,汇智互娱,100-499人,南京,雨花台区
python,大专,3-5年,"['Go', '容器技术', 'Linux', 'Unix', 'PostgreSQL', 'Flask']",10-15K,尚运,20-99人,南京,雨花台区
python开发工程师,本科,3-5年,"['网络编程', 'Python', 'IoT']",12-18K,钛科圈,100-499人,南京,江宁区
Python编程老师,本科,经验不限,"['少儿编程', 'python', '小学']",6-10K,蜘蛛侠,20-99人,南京,鼓楼区
python爬虫工程师,硕士,3-5年,"['Python', 'MySQL', 'MongoDB', 'PostgreSQL', '爬虫经验', '架构设计经验', 'Spring、MyBatis']",20-40K,中电变压器,1000-9999人,南京,雨花台区
Python开发工程师-谱图数据分析,本科,3-5年,"['sqlite', 'Pandas', 'MySQL', 'Numpy', 'Python']",12-21K·14薪,南京霍普斯,100-499人,南京,浦口区
Python开发(需懂C++),本科,3-5年,"['Python', 'C++', '有大模型AI开发经验']",12-20K·13薪,南京来可,20-99人,南京,江宁区
python高级工程师,本科,3-5年,"['Python', 'Golang', 'Django', 'Kubernetes', 'Docker', 'MySQL', 'Linux开发/部署经验']",10-15K,广东盛讯通,100-499人,南京,雨花台区
Python开发工程师,本科,1-3年,"['Python', 'Linux', 'MySQL', 'Redis', 'Django', 'Flask', 'Tornado']",6-11K,新动态,20-99人,南京,玄武区
Python,本科,经验不限,"['网络爬虫技术', 'Scrapy']",6-10K·13薪,昆虫软件,20-99人,南京,雨花台区
python工程师,本科,3-5年,"['Oracle', 'Flask', 'PYSide2', 'PYQT']",10-15K,创数,20-99人,南京,雨花台区
Python,本科,3-5年,"['后端', '数据开发', 'Python', 'Django', '计算机相关专业']",15-30K·14薪,某500强上市公司,10000人以上,南京,
python开发工程师,本科,3-5年,"['python', 'Linux', '服务端开发经验', '全栈开发经验', '软件工程师', '计算机相关专业', '后端', '运维开发', 'Python', 'Flask', 'SQL', '图形图像处理']",12-20K·13薪,东揽,20-99人,南京,江宁区
Python,本科,5-10年,"['NoSQL', 'Linux', 'Django', 'MySQL', '微服务架构', 'Redis', '后端', '计算机相关专业', 'Python', 'Flask']",25-35K,南京农行者数字,100-499人,南京,雨花台区
python自动化,本科,1-3年,"['团队管理经验', 'Pandas', 'MySQL', 'Hadoop', '云计算经验', 'Python']",14-15K,伊克罗德,20-99人,南京,雨花台区
python开发工程师,本科,1-3年,"['Python', 'PyTorch', '计算机相关专业', '机器学习工程经验']",15-20K·13薪,南京伊凡,0-20人,南京,建邺区
python数据工程师,本科,1-3年,"['Python', 'Numpy', 'Pandas', 'MySQL', 're', 'matplotlib']",6-11K·13薪,复保科技,0-20人,南京,江宁区
Python大模型应用服务开发工程师 Python,硕士,3-5年,"['vllm', 'postgresql', 'MySQL', 'transformer', 'ollama', 'Linux开发/部署经验', 'Python', 'docker']",10-11K·13薪,南京易桥,20-99人,南京,鼓楼区
python高级开发工程师,大专,3-5年,"['PyTorch', 'MySQL', 'Python']",10-12K,迈煜创信息科技,0-20人,南京,浦口区
python开发工程师,本科,3-5年,"['Python', 'MySQL', '爬虫经验', '机器学习经验']",9-10K,中电汇通,100-499人,南京,鼓楼区
Python开发工程师,大专,1-3年,"['Python', '后端开发', 'MySQL', 'Oracle', 'Tornado', 'GIT']",8-13K,大物移云,0-20人,南京,秦淮区
Python讲师,本科,经验不限,['Python'],8-13K,乐博乐博机器人,1000-9999人,南京,鼓楼区
python高级开发工程师,大专,3-5年,"['Nginx', '团队管理经验', 'MySQL', 'Python']",13-18K,南京育权智能科技,0-20人,南京,玄武区
Python,硕士,3-5年,"['Linux', 'Python', 'HTML/CSS']",20-40K,南京天创文化,20-99人,南京,秦淮区
高级Python开发工程师,本科,3-5年,"['Flask', 'pytorch', 'gpu虚拟化', 'k8s']",15-30K·14薪,新智云,1000-9999人,南京,江宁区
python高级开发工程师,本科,5-10年,"['Java', 'Docker', 'Redis', '机器学习经验', '大模型', 'Prompt', '提示词']",16-19K·13薪,苏胜天,100-499人,南京,雨花台区
python工程师,本科,3-5年,"['后端', '数据开发', '机器学习/算法工程', 'Python', 'Shell', '计算机相关专业', '数学/统计相关专业', '机器学习工程经验']",16-24K·13薪,图德,0-20人,南京,江宁区
Python工程师,本科,1-3年,"['Python', '数据分析', '人工智能', 'Python算法工程师', 'Python工程师', '数据挖掘']",10-15K,北京趋享智能科技...,20-99人,南京,秦淮区
python高级开发工程师,本科,3-5年,"['后端', '机器学习/算法工程', 'Python']",15-21K·13薪,南京拂晓信息技术,0-20人,南京,
Python后端工程师（数据监控平台）,本科,1-3年,"['Java', '服务器配置', '架构师', 'Django', 'Framework', '云计算', '管理系统']",10-15K,南京千能智能科技,20-99人,南京,
python高级开发工程师,硕士,1-3年,"['机器学习/算法工程', 'Python', '计算机相关专业', '机器学习工程经验']",11-22K,小嘟漫道,0-20人,南京,建邺区
python量化开发工程师,本科,经验不限,"['PostgreSQL', 'Pandas', 'MySQL', '机器学习经验', '运维开发经验', 'Numpy', '量化交易开发经验', 'Python']",7-10K,南京市骐凯舜教育科技,0-20人,南京,建邺区
线上青少儿Python兼职授课老师,本科,1-3年,"['Python', '在线授课', '编程老师', '少儿编程', 'scratch']",3-6K,南京三宝教育,0-20人,南京,栖霞区
python高级开发工程师,本科,1-3年,"['Python', 'Scrapy', 'Numpy', 'Pandas', 'MySQL', 'PostgreSQL', '运维开发经验', '云计算经验']",15-18K,应龙,20-99人,南京,雨花台区
python开发工程师（AI应用）,本科,3-5年,"['Python', 'Docker', 'Redis']",18-35K·15薪,道通科技,1000-9999人,南京,雨花台区
python后台开发实习生,硕士,,"['后端', '爬虫', 'Python', 'Django', 'MySQL', '计算机相关专业']",180-200元/天,同方威视,1000-9999人,南京,建邺区
华为云-Python工程师（非OD）,本科,3-5年,['Python'],30-60K·16薪,华为,10000人以上,南京,雨花台区
Python开发工程师（AIoT/音视频方向）,本科,1-3年,['Python'],11-20K,博流智能,100-499人,南京,浦口区
Python AI应用开发工程师,本科,1年以内,"['Python', 'Flask', 'Nginx', 'Docker', 'PostgreSQL', 'MySQL', 'Redis', 'Linux开发/部署经验']",6-7K,悦道网络科技,0-20人,南京,雨花台区
Python讲师,大专,1-3年,"['网络爬虫技术', 'Django', 'Scrapy', 'GIT', '高级软件工程师', '微服务架构']",12-15K,江苏万和,20-99人,南京,鼓楼区
python工程师,本科,经验不限,"['初级算法工程师', 'Python']",12-15K·13薪,南京诺飞尔信息科技,100-499人,南京,秦淮区
JAVA/JS/Python/C/C++/Android/测试/数据,本科,经验不限,"['Java', 'C', 'C++', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle']",14-28K·14薪,华为技术武研所,10000人以上,南京,雨花台区
Java和Python开发工程师,本科,3-5年,"['Java', 'Python', 'Spring', 'Oracle']",11-22K·13薪,宇博信诚,100-499人,南京,建邺区
高级python开发工程师,硕士,1-3年,"['Python', 'Java', 'Django', 'Docker', 'MySQL']",15-16K,德万信安,0-20人,南京,鼓楼区
后端开发工程师（Java or Python）,本科,3-5年,"['Java', 'Python', 'SpringCloud', 'MySQL']",25-40K·14薪,某知名企业,10000人以上,南京,
软件开发工程师（JAVA/Python/C++）,本科,1-3年,"['Java', 'Python', '分布式技术', '服务器配置', '微服务架构', 'Linux', 'Spring', 'MVC开发']",13-24K,华为技术有限公司,10000人以上,南京,雨花台区
大数据开发(运维_Java_Python_C++_Sql_JS),本科,1-3年,"['Java', '计算机软件', '大数据', '云计算', '分布式技术', 'JavaScript', 'SQL', 'HTML', 'CSS', 'Scala', 'Spring', 'JQuery']",13-25K,华为,10000人以上,南京,雨花台区
python开发工程师,大专,3-5年,"['Django', 'MySQL', 'Python']",13-14K,上海思芮,1000-9999人,南京,雨花台区
python深度学习开发工程师,本科,经验不限,"['Python', 'PyTorch', '架构设计经验', '机器学习经验']",20-40K,华为云计算,10000人以上,南京,雨花台区
Python-掌握后端开发-fastapi框架_wb6wwas,大专,3-5年,"['Python', 'Django', 'Flask', 'MySQL', 'Redis', '微服务经验']",10-11K,版石控股集团有限公司,100-499人,南京,江宁区
python安全开发工程师,大专,经验不限,"['Django', 'MySQL', '渗透测试', 'Python', 'Flask']",10-12K,绿和,20-99人,南京,雨花台区
Python-国睿,本科,3-5年,"['Django', 'Pandas', 'MySQL', 'Numpy', 'Python', 'Flask']",9-14K,雀翼科技,100-499人,南京,江宁区
高薪诚聘Python开发非外派双休电话面试,本科,3-5年,"['爬虫经验', 'PyTorch', 'Pandas', 'Hadoop', 'Spark', '量化交易开发经验', 'Python', 'Flask', 'TensorFlow']",11-17K,软通动力,10000人以上,南京,江宁区
"java,c++,python",本科,经验不限,"['Golang', 'Java', 'C++', 'C', 'Boost', 'MySQL', 'Python']",15-30K·14薪,华为南京,10000人以上,南京,雨花台区
Python,本科,经验不限,"['Python', 'Django', 'MySQL', 'Redis', 'Oracle']",18-35K,华为,10000人以上,南京,雨花台区
python工程师(线上、远程兼职),大专,经验不限,"['Python', 'Django', 'Scrapy', 'Pandas', 'MySQL', 'Spark', 'Hive']",80-120元/时,带新娱乐,0-20人,南京,栖霞区
人工智能Python,本科,3-5年,"['Django', 'MySQL', '机器学习经验', 'AI', 'Python']",12-18K,深圳微蚂蚁,100-499人,南京,鼓楼区
python算法开发技术员,本科,,"['Python', 'PyTorch', 'TensorFlow', 'MySQL', '机器学习经验']",300-600元/天,南京腾思网络科技,20-99人,南京,浦口区
python 开发工程师,本科,1-3年,"['Python', 'Pandas', 'TensorFlow', 'Numpy', 'MySQL', 'MongoDB', '爬虫经验']",9-14K,UTC优泰科技,20-99人,南京,建邺区
Java/Python/C/C++软件开发工程师（双休）,本科,经验不限,"['Java', 'C++', 'Python', 'SpringCloud', 'Spring', 'MySQL', 'Oracle', 'Redis']",20-40K·14薪,某大型国际计算机软件公司,10000人以上,南京,
JAVA/C++/C/Python/JS/HTML/ 测试,本科,经验不限,"['Java', 'C', 'C++', 'Spring', 'SpringCloud', 'Docker', 'MySQL', 'Hive', 'Spark', '不接受居家办公']",13-26K·14薪,华为,10000人以上,南京,雨花台区
python开发,本科,3-5年,"['爬虫经验', 'Docker', 'Django', 'MySQL', '运维开发经验', '云计算经验', 'Linux开发/部署经验', 'Python']",9-14K,华通科技,500-999人,南京,雨花台区
Python开发工程师,大专,3-5年,"['Python', 'Django', 'MySQL']",8-13K,明月华炎,100-499人,南京,雨花台区
python开发,本科,1-3年,"['MySQL', 'Linux开发/部署经验', 'Python', 'Flask']",10-15K,拓维云创,1000-9999人,南京,雨花台区
python后端工程师,本科,在校/应届,"['Scrapy', '爬虫经验', 'PyTorch', '机器学习经验', 'Redis', '架构设计经验', 'Python', 'Flask', 'HBase']",10-14K,南京玻尔兹曼信息科技,0-20人,南京,浦口区
python开发,本科,1-3年,"['性能调优', 'fastapi', 'celery', 'Django', '协程异步编程', 'Python', 'Flask']",10-13K·13薪,中软国际,10000人以上,南京,雨花台区
C\C++\JAVA\python\ （全国多城市可安排）,本科,经验不限,"['Golang', 'Java', 'C++', 'C', 'Python']",15-25K·14薪,华为终端有限公司,10000人以上,南京,雨花台区
python高级开发工程师,本科,5-10年,['Python'],14-22K,艺赛旗,100-499人,南京,栖霞区
Python,本科,1-3年,"['Python', 'Java', 'C++', 'Numpy', 'Scrapy', 'MongoDB']",16-23K·14薪,华为,10000人以上,南京,雨花台区
Python开发工程师,大专,1-3年,"['网络爬虫技术', '分布式技术', '架构师', 'Scrapy', 'MySQL', 'Redis']",10-15K,智火,20-99人,南京,雨花台区
python自动化测试,本科,经验不限,"['自动化测试经验', 'Python']",9-13K,润和软件,10000人以上,南京,雨花台区
央企正编-PYTHON开发,本科,经验不限,"['Python', 'Django', 'Numpy', 'Pandas', 'Docker', 'MySQL', 'Linux开发/部署经验']",20-22K,某知名互联网金融上市公司,1000-9999人,南京,
后端开发实习生(Python/Go/Linux),本科,,"['Python', 'Golang', 'Linux开发/部署经验']",200-280元/天,凯易讯,100-499人,南京,雨花台区
python爬虫工程师,本科,经验不限,"['爬虫', '爬虫经验', '接受实习/在校生投递', '数据分析', 'MySQL', 'Python', '数据清洗']",5-10K,南京微小宝,20-99人,南京,
