职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
Python编程老师,本科,经验不限,"['少儿编程', 'python', '小学']",96,蜘蛛侠,小型企业,南京,鼓楼区
python爬虫工程师,硕士,3-5年,"['Python', 'MySQL', 'MongoDB', 'PostgreSQL', '爬虫经验', '架构设计经验', 'Spring、MyBatis']",360,中电变压器,大型企业,南京,雨花台区
Python开发工程师-谱图数据分析,本科,3-5年,"['sqlite', 'Pandas', 'MySQL', 'Numpy', 'Python']",231,南京霍普斯,中型企业,南京,浦口区
Python开发(需懂C++),本科,3-5年,"['Python', 'C++', '有大模型AI开发经验']",208,南京来可,小型企业,南京,江宁区
python高级工程师,本科,3-5年,"['Python', 'Golang', 'Django', 'Kubernetes', 'Docker', 'MySQL', 'Linux开发/部署经验']",150,广东盛讯通,中型企业,南京,雨花台区
Python开发工程师,本科,1-3年,"['Python', 'Linux', 'MySQL', 'Redis', 'Django', 'Flask', 'Tornado']",102,新动态,小型企业,南京,玄武区
Python,本科,经验不限,"['网络爬虫技术', 'Scrapy']",104,昆虫软件,小型企业,南京,雨花台区
python工程师,本科,3-5年,"['Oracle', 'Flask', 'PYSide2', 'PYQT']",150,创数,小型企业,南京,雨花台区
Python,本科,3-5年,"['后端', '数据开发', 'Python', 'Django', '计算机相关专业']",315,某500强上市公司,超大型企业,南京,
python开发工程师,本科,3-5年,"['python', 'Linux', '服务端开发经验', '全栈开发经验', '软件工程师', '计算机相关专业', '后端', '运维开发', 'Python', 'Flask', 'SQL', '图形图像处理']",208,东揽,小型企业,南京,江宁区
Python,本科,5-10年,"['NoSQL', 'Linux', 'Django', 'MySQL', '微服务架构', 'Redis', '后端', '计算机相关专业', 'Python', 'Flask']",360,南京农行者数字,中型企业,南京,雨花台区
python自动化,本科,1-3年,"['团队管理经验', 'Pandas', 'MySQL', 'Hadoop', '云计算经验', 'Python']",174,伊克罗德,小型企业,南京,雨花台区
python开发工程师,本科,1-3年,"['Python', 'PyTorch', '计算机相关专业', '机器学习工程经验']",227,南京伊凡,微型企业,南京,建邺区
python数据工程师,本科,1-3年,"['Python', 'Numpy', 'Pandas', 'MySQL', 're', 'matplotlib']",110,复保科技,微型企业,南京,江宁区
Python大模型应用服务开发工程师 Python,硕士,3-5年,"['vllm', 'postgresql', 'MySQL', 'transformer', 'ollama', 'Linux开发/部署经验', 'Python', 'docker']",136,南京易桥,小型企业,南京,鼓楼区
python高级开发工程师,大专,3-5年,"['PyTorch', 'MySQL', 'Python']",132,迈煜创信息科技,微型企业,南京,浦口区
python开发工程师,本科,3-5年,"['Python', 'MySQL', '爬虫经验', '机器学习经验']",114,中电汇通,中型企业,南京,鼓楼区
Python开发工程师,大专,1-3年,"['Python', '后端开发', 'MySQL', 'Oracle', 'Tornado', 'GIT']",126,大物移云,微型企业,南京,秦淮区
Python讲师,本科,经验不限,['Python'],126,乐博乐博机器人,大型企业,南京,鼓楼区
python高级开发工程师,大专,3-5年,"['Nginx', '团队管理经验', 'MySQL', 'Python']",186,南京育权智能科技,微型企业,南京,玄武区
Python,硕士,3-5年,"['Linux', 'Python', 'HTML/CSS']",360,南京天创文化,小型企业,南京,秦淮区
高级Python开发工程师,本科,3-5年,"['Flask', 'pytorch', 'gpu虚拟化', 'k8s']",315,新智云,大型企业,南京,江宁区
python高级开发工程师,本科,5-10年,"['Java', 'Docker', 'Redis', '机器学习经验', '大模型', 'Prompt', '提示词']",227,苏胜天,中型企业,南京,雨花台区
python工程师,本科,3-5年,"['后端', '数据开发', '机器学习/算法工程', 'Python', 'Shell', '计算机相关专业', '数学/统计相关专业', '机器学习工程经验']",260,图德,微型企业,南京,江宁区
Python工程师,本科,1-3年,"['Python', '数据分析', '人工智能', 'Python算法工程师', 'Python工程师', '数据挖掘']",150,北京趋享智能科技...,小型企业,南京,秦淮区
python高级开发工程师,本科,3-5年,"['后端', '机器学习/算法工程', 'Python']",234,南京拂晓信息技术,微型企业,南京,
Python后端工程师（数据监控平台）,本科,1-3年,"['Java', '服务器配置', '架构师', 'Django', 'Framework', '云计算', '管理系统']",150,南京千能智能科技,小型企业,南京,
python高级开发工程师,硕士,1-3年,"['机器学习/算法工程', 'Python', '计算机相关专业', '机器学习工程经验']",198,小嘟漫道,微型企业,南京,建邺区
python量化开发工程师,本科,经验不限,"['PostgreSQL', 'Pandas', 'MySQL', '机器学习经验', '运维开发经验', 'Numpy', '量化交易开发经验', 'Python']",102,南京市骐凯舜教育科技,微型企业,南京,建邺区
线上青少儿Python兼职授课老师,本科,1-3年,"['Python', '在线授课', '编程老师', '少儿编程', 'scratch']",54,南京三宝教育,微型企业,南京,栖霞区
python高级开发工程师,本科,1-3年,"['Python', 'Scrapy', 'Numpy', 'Pandas', 'MySQL', 'PostgreSQL', '运维开发经验', '云计算经验']",198,应龙,小型企业,南京,雨花台区
python开发工程师（AI应用）,本科,3-5年,"['Python', 'Docker', 'Redis']",397,道通科技,大型企业,南京,雨花台区
华为云-Python工程师（非OD）,本科,3-5年,['Python'],720,华为,超大型企业,南京,雨花台区
Python开发工程师（AIoT/音视频方向）,本科,1-3年,['Python'],186,博流智能,中型企业,南京,浦口区
Python AI应用开发工程师,本科,1年以内,"['Python', 'Flask', 'Nginx', 'Docker', 'PostgreSQL', 'MySQL', 'Redis', 'Linux开发/部署经验']",78,悦道网络科技,微型企业,南京,雨花台区
Python讲师,大专,1-3年,"['网络爬虫技术', 'Django', 'Scrapy', 'GIT', '高级软件工程师', '微服务架构']",162,江苏万和,小型企业,南京,鼓楼区
python工程师,本科,经验不限,"['初级算法工程师', 'Python']",175,南京诺飞尔信息科技,中型企业,南京,秦淮区
JAVA/JS/Python/C/C++/Android/测试/数据,本科,经验不限,"['Java', 'C', 'C++', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle']",294,华为技术武研所,超大型企业,南京,雨花台区
Java和Python开发工程师,本科,3-5年,"['Java', 'Python', 'Spring', 'Oracle']",214,宇博信诚,中型企业,南京,建邺区
高级python开发工程师,硕士,1-3年,"['Python', 'Java', 'Django', 'Docker', 'MySQL']",186,德万信安,微型企业,南京,鼓楼区
后端开发工程师（Java or Python）,本科,3-5年,"['Java', 'Python', 'SpringCloud', 'MySQL']",455,某知名企业,超大型企业,南京,
软件开发工程师（JAVA/Python/C++）,本科,1-3年,"['Java', 'Python', '分布式技术', '服务器配置', '微服务架构', 'Linux', 'Spring', 'MVC开发']",222,华为技术有限公司,超大型企业,南京,雨花台区
大数据开发(运维_Java_Python_C++_Sql_JS),本科,1-3年,"['Java', '计算机软件', '大数据', '云计算', '分布式技术', 'JavaScript', 'SQL', 'HTML', 'CSS', 'Scala', 'Spring', 'JQuery']",228,华为,超大型企业,南京,雨花台区
python开发工程师,大专,3-5年,"['Django', 'MySQL', 'Python']",162,上海思芮,大型企业,南京,雨花台区
python深度学习开发工程师,本科,经验不限,"['Python', 'PyTorch', '架构设计经验', '机器学习经验']",360,华为云计算,超大型企业,南京,雨花台区
Python-掌握后端开发-fastapi框架_wb6wwas,大专,3-5年,"['Python', 'Django', 'Flask', 'MySQL', 'Redis', '微服务经验']",126,版石控股集团有限公司,中型企业,南京,江宁区
python安全开发工程师,大专,经验不限,"['Django', 'MySQL', '渗透测试', 'Python', 'Flask']",132,绿和,小型企业,南京,雨花台区
Python-国睿,本科,3-5年,"['Django', 'Pandas', 'MySQL', 'Numpy', 'Python', 'Flask']",138,雀翼科技,中型企业,南京,江宁区
高薪诚聘Python开发非外派双休电话面试,本科,3-5年,"['爬虫经验', 'PyTorch', 'Pandas', 'Hadoop', 'Spark', '量化交易开发经验', 'Python', 'Flask', 'TensorFlow']",168,软通动力,超大型企业,南京,江宁区
"java,c++,python",本科,经验不限,"['Golang', 'Java', 'C++', 'C', 'Boost', 'MySQL', 'Python']",315,华为南京,超大型企业,南京,雨花台区
Python,本科,经验不限,"['Python', 'Django', 'MySQL', 'Redis', 'Oracle']",318,华为,超大型企业,南京,雨花台区
人工智能Python,本科,3-5年,"['Django', 'MySQL', '机器学习经验', 'AI', 'Python']",180,深圳微蚂蚁,中型企业,南京,鼓楼区
python 开发工程师,本科,1-3年,"['Python', 'Pandas', 'TensorFlow', 'Numpy', 'MySQL', 'MongoDB', '爬虫经验']",138,UTC优泰科技,小型企业,南京,建邺区
Java/Python/C/C++软件开发工程师（双休）,本科,经验不限,"['Java', 'C++', 'Python', 'SpringCloud', 'Spring', 'MySQL', 'Oracle', 'Redis']",420,某大型国际计算机软件公司,超大型企业,南京,
JAVA/C++/C/Python/JS/HTML/ 测试,本科,经验不限,"['Java', 'C', 'C++', 'Spring', 'SpringCloud', 'Docker', 'MySQL', 'Hive', 'Spark', '不接受居家办公']",273,华为,超大型企业,南京,雨花台区
python开发,本科,3-5年,"['爬虫经验', 'Docker', 'Django', 'MySQL', '运维开发经验', '云计算经验', 'Linux开发/部署经验', 'Python']",138,华通科技,中大型企业,南京,雨花台区
Python开发工程师,大专,3-5年,"['Python', 'Django', 'MySQL']",126,明月华炎,中型企业,南京,雨花台区
python开发,本科,1-3年,"['MySQL', 'Linux开发/部署经验', 'Python', 'Flask']",150,拓维云创,大型企业,南京,雨花台区
python后端工程师,本科,在校/应届,"['Scrapy', '爬虫经验', 'PyTorch', '机器学习经验', 'Redis', '架构设计经验', 'Python', 'Flask', 'HBase']",144,南京玻尔兹曼信息科技,微型企业,南京,浦口区
python开发,本科,1-3年,"['性能调优', 'fastapi', 'celery', 'Django', '协程异步编程', 'Python', 'Flask']",149,中软国际,超大型企业,南京,雨花台区
C\C++\JAVA\python\ （全国多城市可安排）,本科,经验不限,"['Golang', 'Java', 'C++', 'C', 'Python']",280,华为终端有限公司,超大型企业,南京,雨花台区
python高级开发工程师,本科,5-10年,['Python'],216,艺赛旗,中型企业,南京,栖霞区
Python,本科,1-3年,"['Python', 'Java', 'C++', 'Numpy', 'Scrapy', 'MongoDB']",273,华为,超大型企业,南京,雨花台区
Python开发工程师,大专,1-3年,"['网络爬虫技术', '分布式技术', '架构师', 'Scrapy', 'MySQL', 'Redis']",150,智火,小型企业,南京,雨花台区
python自动化测试,本科,经验不限,"['自动化测试经验', 'Python']",132,润和软件,超大型企业,南京,雨花台区
央企正编-PYTHON开发,本科,经验不限,"['Python', 'Django', 'Numpy', 'Pandas', 'Docker', 'MySQL', 'Linux开发/部署经验']",252,某知名互联网金融上市公司,大型企业,南京,
python爬虫工程师,本科,经验不限,"['爬虫', '爬虫经验', '接受实习/在校生投递', '数据分析', 'MySQL', 'Python', '数据清洗']",90,南京微小宝,小型企业,南京,
高薪开发 测试 算法 数仓岗java/c++/python,本科,经验不限,"['Java', 'C', 'C++', 'Golang', 'Python']",315,北京外企德科人力...,大型企业,南京,雨花台区
python工程师,本科,3-5年,"['Python', 'Flask', 'PostgreSQL', 'Linux开发/部署经验']",132,湖北特为,微型企业,南京,雨花台区
Python,本科,经验不限,['Python'],390,某大型计算机软件公司,超大型企业,南京,
python开发工程师,本科,3-5年,"['Python', 'C', 'C++', 'Numpy', 'MySQL', 'Redis', 'PySide', 'PyQt']",162,益发特,中型企业,南京,玄武区
python研发工程师,本科,3-5年,"['机器学习工程经验', '网络爬虫技术', '数据开发', 'NoSQL', '机器学习/算法工程', '负载均衡技术', '服务器配置', 'MySQL', '多线程', '多进程', 'MongoDB', 'Python']",234,边缘智能研究院,小型企业,南京,鼓楼区
Python开发测试,本科,经验不限,['Python'],420,华为,超大型企业,南京,雨花台区
python开发,本科,3-5年,"['Python', 'Flask', 'MySQL', 'Linux开发/部署经验', 'RAG', 'fastapi', 'gunicorn']",210,上海海万信息科技,大型企业,南京,玄武区
资深 python 后端开发,本科,5-10年,"['接受无数字后端工程师经验', 'Python']",318,南京天洑软件有限公司,中型企业,南京,江宁区
Python开发,本科,5-10年,"['Python', 'Django', 'MySQL', '微服务经验', '分布式经验']",204,iWudao吾道科技,小型企业,南京,江宁区
python,本科,3-5年,"['Django', 'MongoDB', 'Python']",144,迈思信息,大型企业,南京,雨花台区
python 开发工程师,本科,1-3年,"['Python', 'Django', 'Flask', 'Docker', 'MySQL', 'Redis']",174,同创有云,小型企业,南京,江宁区
python后端,本科,1-3年,"['C++', 'Django', 'MySQL', 'Redis', 'Python', 'Flask', 'Linux、Shell；git等']",210,风语智能,微型企业,南京,栖霞区
python自动化测试工程师,本科,3-5年,"['自动化测试', '计算机相关专业', 'Python']",180,诚迈科技,大型企业,南京,玄武区
Python,本科,1-3年,"['Python', 'Django', 'MySQL', 'Redis', '渗透', '网络安全']",150,菲克斯能源科技,中型企业,南京,江宁区
Python开发工程师,本科,3-5年,"['Python', 'Docker', 'MongoDB', 'Linux开发/部署经验', '运维开发经验']",315,中安智能,中型企业,南京,江宁区
python开发工程师,本科,3-5年,"['Django', 'MySQL', 'Python']",240,中盈优创,大型企业,南京,建邺区
后端框架开发工程师,本科,3-5年,"['python', 'Docker', 'Django', 'MySQL', 'Redis', 'Python', 'Flask', 'Kubernetes']",240,浩鲸科技,超大型企业,南京,江宁区
python测试,本科,3-5年,"['CAN', 'UDS', 'Python']",126,南京德软,小型企业,南京,江宁区
算法/强化学习/游戏python兼职nlp,硕士,经验不限,"['机器学习/算法工程', 'Python', 'PyTorch', 'TensorFlow', '数学/统计相关专业', '机器学习工程经验', '英语读写能力良好']",66,南京万迅,微型企业,南京,建邺区
python开发工程师,本科,经验不限,['Python'],360,某大型互联网+人力资源服务上市公司,大型企业,南京,
中级python开发工程师,本科,3-5年,"['Python', '算法', 'AI']",231,南京来可,小型企业,南京,
Python开发,本科,3-5年,"['Python', 'Django', 'Flask', 'Tornado', 'Kafka', 'MySQL', 'PostgreSQL', 'MongoDB', 'Redis', 'Linux开发/部署经验', '爬虫经验']",175,锦云智开,小型企业,南京,雨花台区
Python,本科,1-3年,"['MySQL', 'Linux', 'fastapi', '算法基础', '神通数据库']",180,控维通信科技,中型企业,南京,江宁区
python开发工程师,本科,3-5年,['Python'],221,星火,小型企业,南京,浦口区
python开发工程师,本科,1-3年,"['PyTorch', 'MySQL', 'Oracle', '文件解析', '数据处理', 'Python']",150,上扬软件,中型企业,南京,江宁区
python仿真开发工程师,本科,经验不限,"['python', '仿真测试套件开发', '自动驾驶']",260,的卢技术,中型企业,南京,栖霞区
Python开发工程师,本科,3-5年,"['分布式技术', '多进程', '金融数据', '量化研究']",168,华泰证券,超大型企业,南京,建邺区
Python后端开发实习,本科,在校/应届,"['Python', 'SQL', 'Python工程师', 'NoSQL', '后端开发', 'PostgreSQL']",48,圣安合,微型企业,南京,江宁区
开发工程师（Python）,大专,1-3年,"['Python', 'C++', '爬虫经验', '量化交易开发经验']",117,索力得集团,大型企业,无锡,滨湖区
软件测试（真实招聘+HC3000）,本科,经验不限,"['自动化测试', '性能测试', '功能测试', 'Python', 'Java', 'C++', 'MySQL', '计算机相关专业', '通信相关专业', '测试工作经验', '自动化测试经验', '掌握软件测试理论和流程']",288,某大型计算机软件公司,超大型企业,无锡,
25校招-算法与风资源数据分析工程师,本科,在校/应届,[],168,明阳智能,大型企业,无锡,滨湖区
大数据分析师,本科,在校/应届,"['经济/工商管理相关专业', '数据分析/挖掘经验', '计算机相关专业', 'Tableau', '数学/统计相关专业', 'Python', 'SQL']",149,云乐诚莱,中型企业,无锡,滨湖区
